support,itemsets
0.17765,"frozenset({'DeviceType=missing', 'isFraud=0', 'Email=gmail.com', 'Card1=card1_other'})"
0.1774,"frozenset({'DeviceType=missing', 'Amt=Amt_Med', 'isFraud=0'})"
0.1771,"frozenset({'ProductCD=W', 'Email=gmail.com', 'Card1=card1_other'})"
0.1771,"frozenset({'DeviceType=missing', 'ProductCD=W', 'Email=gmail.com', 'Card1=card1_other'})"
0.1747,"frozenset({'Amt=Amt_Med', 'ProductCD=W'})"
0.1747,"frozenset({'DeviceType=missing', 'Amt=Amt_Med', 'ProductCD=W'})"
0.17395,"frozenset({'DeviceType=desktop', 'Card1=card1_other'})"
0.17295,"frozenset({'isFraud=0', 'ProductCD=W', 'Email=gmail.com', 'Card1=card1_other'})"
0.17295,"frozenset({'Email=gmail.com', 'ProductCD=W', 'Card1=card1_other', 'DeviceType=missing', 'isFraud=0'})"
0.17105,"frozenset({'DeviceType=missing', 'isFraud=0', 'ProductCD=W', 'Amt=Amt_Med'})"
0.17105,"frozenset({'isFraud=0', 'ProductCD=W', 'Amt=Amt_Med'})"
0.17025,frozenset({'Email=missing'})
0.16855,"frozenset({'isFraud=0', 'DeviceType=desktop', 'Card1=card1_other'})"
0.1665,"frozenset({'isFraud=0', 'Email=missing'})"
0.1648,frozenset({'Email=yahoo.com'})
0.1619,"frozenset({'isFraud=0', 'Email=yahoo.com'})"
0.16125,"frozenset({'DeviceType=missing', 'Hour=Hour_0_5'})"
0.15965,"frozenset({'Amt=Amt_Low', 'DeviceType=missing', 'Card1=card1_other'})"
0.1581,"frozenset({'DeviceType=missing', 'isFraud=0', 'Hour=Hour_0_5'})"
0.1576,frozenset({'ProductCD=H'})
0.15715,"frozenset({'Amt=Amt_Low', 'isFraud=0', 'DeviceType=missing', 'Card1=card1_other'})"
0.15585,"frozenset({'DeviceType=missing', 'ProductCD=W', 'Hour=Hour_0_5'})"
0.15585,"frozenset({'ProductCD=W', 'Hour=Hour_0_5'})"
0.15485,"frozenset({'isFraud=0', 'ProductCD=H'})"
0.153,"frozenset({'isFraud=0', 'ProductCD=W', 'Hour=Hour_0_5'})"
0.153,"frozenset({'DeviceType=missing', 'isFraud=0', 'ProductCD=W', 'Hour=Hour_0_5'})"
0.15145,"frozenset({'Amt=Amt_Low', 'Hour=Hour_18_23'})"
0.14985,"frozenset({'Amt=Amt_Low', 'ProductCD=W', 'DeviceType=missing', 'Card1=card1_other'})"
0.14985,"frozenset({'DeviceType=missing', 'Card1=card1_other', 'Hour=Hour_12_17'})"
0.14985,"frozenset({'Amt=Amt_Low', 'ProductCD=W', 'Card1=card1_other'})"
0.1479,"frozenset({'Amt=Amt_Low', 'isFraud=0', 'ProductCD=W', 'Card1=card1_other'})"
0.1479,"frozenset({'ProductCD=W', 'Card1=card1_other', 'Amt=Amt_Low', 'DeviceType=missing', 'isFraud=0'})"
0.14735,"frozenset({'DeviceType=missing', 'isFraud=0', 'Card1=card1_other', 'Hour=Hour_12_17'})"
0.14715,"frozenset({'Amt=Amt_Low', 'isFraud=0', 'Hour=Hour_18_23'})"
0.1458,"frozenset({'Email=gmail.com', 'Hour=Hour_18_23'})"
0.1449,"frozenset({'DeviceType=missing', 'ProductCD=W', 'Card1=card1_other', 'Hour=Hour_12_17'})"
0.1449,"frozenset({'ProductCD=W', 'Card1=card1_other', 'Hour=Hour_12_17'})"
0.1447,"frozenset({'Amt=Amt_Low', 'Email=gmail.com'})"
0.14425,"frozenset({'Hour=Hour_18_23', 'Amt=Amt_High'})"
0.1433,"frozenset({'DeviceType=missing', 'Email=missing'})"
0.1427,"frozenset({'ProductCD=W', 'Card1=card1_other', 'DeviceType=missing', 'isFraud=0', 'Hour=Hour_12_17'})"
0.1427,"frozenset({'isFraud=0', 'ProductCD=W', 'Card1=card1_other', 'Hour=Hour_12_17'})"
0.1409,"frozenset({'DeviceType=missing', 'ProductCD=W', 'Email=missing'})"
0.1409,"frozenset({'ProductCD=W', 'Email=missing'})"
0.14045,"frozenset({'isFraud=0', 'Hour=Hour_18_23', 'Amt=Amt_High'})"
0.1404,"frozenset({'Amt=Amt_Low', 'isFraud=0', 'Email=gmail.com'})"
0.1404,"frozenset({'DeviceType=missing', 'isFraud=0', 'Email=missing'})"
0.14025,"frozenset({'DeviceType=missing', 'Amt=Amt_Med', 'Card1=card1_other'})"
0.1402,"frozenset({'isFraud=0', 'Email=gmail.com', 'Hour=Hour_18_23'})"
0.1382,"frozenset({'isFraud=0', 'ProductCD=W', 'Email=missing'})"
0.1382,"frozenset({'DeviceType=missing', 'isFraud=0', 'ProductCD=W', 'Email=missing'})"
0.1371,"frozenset({'DeviceType=missing', 'Amt=Amt_Med', 'isFraud=0', 'Card1=card1_other'})"
0.1356,"frozenset({'Amt=Amt_Med', 'ProductCD=W', 'Card1=card1_other'})"
0.1356,"frozenset({'DeviceType=missing', 'Amt=Amt_Med', 'ProductCD=W', 'Card1=card1_other'})"
0.13265,"frozenset({'isFraud=0', 'ProductCD=W', 'Amt=Amt_Med', 'Card1=card1_other'})"
0.13265,"frozenset({'ProductCD=W', 'Card1=card1_other', 'Amt=Amt_Med', 'DeviceType=missing', 'isFraud=0'})"
0.1301,"frozenset({'Email=missing', 'Card1=card1_other'})"
0.1276,"frozenset({'isFraud=0', 'Email=missing', 'Card1=card1_other'})"
0.12725,"frozenset({'Email=yahoo.com', 'Card1=card1_other'})"
0.1267,"frozenset({'DeviceType=missing', 'Email=yahoo.com'})"
0.12595,"frozenset({'DeviceType=missing', 'Card1=card1_other', 'Hour=Hour_0_5'})"
0.12555,"frozenset({'isFraud=0', 'Email=yahoo.com', 'Card1=card1_other'})"
0.1255,"frozenset({'ProductCD=W', 'Email=yahoo.com'})"
0.1255,"frozenset({'DeviceType=missing', 'ProductCD=W', 'Email=yahoo.com'})"
0.12445,"frozenset({'DeviceType=missing', 'isFraud=0', 'Email=yahoo.com'})"
0.1236,"frozenset({'DeviceType=missing', 'isFraud=0', 'Card1=card1_other', 'Hour=Hour_0_5'})"
0.12325,"frozenset({'isFraud=0', 'ProductCD=W', 'Email=yahoo.com'})"
0.12325,"frozenset({'DeviceType=missing', 'isFraud=0', 'ProductCD=W', 'Email=yahoo.com'})"
0.12185,"frozenset({'ProductCD=W', 'Card1=card1_other', 'Hour=Hour_0_5'})"
0.12185,"frozenset({'DeviceType=missing', 'ProductCD=W', 'Card1=card1_other', 'Hour=Hour_0_5'})"
0.1197,"frozenset({'isFraud=0', 'ProductCD=W', 'Card1=card1_other', 'Hour=Hour_0_5'})"
0.1197,"frozenset({'ProductCD=W', 'Card1=card1_other', 'DeviceType=missing', 'isFraud=0', 'Hour=Hour_0_5'})"
0.11515,"frozenset({'ProductCD=H', 'Card1=card1_other'})"
0.11475,"frozenset({'Amt=Amt_Low', 'Hour=Hour_18_23', 'Card1=card1_other'})"
0.11465,"frozenset({'Amt=Amt_Low', 'DeviceType=desktop'})"
0.1139,"frozenset({'DeviceType=missing', 'Hour=Hour_18_23', 'Amt=Amt_High'})"
0.11295,"frozenset({'isFraud=0', 'ProductCD=H', 'Card1=card1_other'})"
0.11255,"frozenset({'ProductCD=W', 'Hour=Hour_18_23', 'Amt=Amt_High'})"
0.11255,"frozenset({'DeviceType=missing', 'ProductCD=W', 'Hour=Hour_18_23', 'Amt=Amt_High'})"
0.11225,"frozenset({'Email=gmail.com', 'Amt=Amt_High'})"
0.1118,"frozenset({'Amt=Amt_Low', 'isFraud=0', 'DeviceType=desktop'})"
0.11135,"frozenset({'Amt=Amt_Low', 'isFraud=0', 'Hour=Hour_18_23', 'Card1=card1_other'})"
0.11135,"frozenset({'DeviceType=missing', 'isFraud=0', 'Hour=Hour_18_23', 'Amt=Amt_High'})"
0.11,"frozenset({'isFraud=0', 'ProductCD=W', 'Hour=Hour_18_23', 'Amt=Amt_High'})"
0.11,"frozenset({'ProductCD=W', 'Amt=Amt_High', 'DeviceType=missing', 'isFraud=0', 'Hour=Hour_18_23'})"
0.10985,"frozenset({'Amt=Amt_Low', 'Hour=Hour_0_5'})"
0.1098,"frozenset({'Amt=Amt_Med', 'Hour=Hour_18_23'})"
0.10975,"frozenset({'DeviceType=missing', 'Email=missing', 'Card1=card1_other'})"
0.1096,"frozenset({'Amt=Amt_High', 'Hour=Hour_12_17'})"
0.1095,frozenset({'DeviceType=mobile'})
0.1086,"frozenset({'Amt=Amt_Low', 'Email=gmail.com', 'Card1=card1_other'})"
0.10845,"frozenset({'Email=gmail.com', 'Hour=Hour_18_23', 'Card1=card1_other'})"
0.10845,"frozenset({'Hour=Hour_18_23', 'Amt=Amt_High', 'Card1=card1_other'})"
0.10815,"frozenset({'ProductCD=W', 'Email=missing', 'Card1=card1_other'})"
0.10815,"frozenset({'DeviceType=missing', 'ProductCD=W', 'Email=missing', 'Card1=card1_other'})"
0.10805,"frozenset({'DeviceType=missing', 'isFraud=0', 'Email=missing', 'Card1=card1_other'})"
0.1076,"frozenset({'Amt=Amt_Low', 'isFraud=0', 'Hour=Hour_0_5'})"
0.1076,"frozenset({'isFraud=0', 'Email=gmail.com', 'Amt=Amt_High'})"
0.107,"frozenset({'isFraud=0', 'Amt=Amt_Med', 'Hour=Hour_18_23'})"
0.10675,"frozenset({'isFraud=0', 'Amt=Amt_High', 'Hour=Hour_12_17'})"
0.10665,"frozenset({'ProductCD=W', 'Card1=card1_other', 'DeviceType=missing', 'isFraud=0', 'Email=missing'})"
0.10665,"frozenset({'isFraud=0', 'ProductCD=W', 'Email=missing', 'Card1=card1_other'})"
0.1064,"frozenset({'isFraud=0', 'Hour=Hour_18_23', 'Amt=Amt_High', 'Card1=card1_other'})"
0.10495,"frozenset({'Amt=Amt_Low', 'isFraud=0', 'Email=gmail.com', 'Card1=card1_other'})"
0.104,"frozenset({'Amt=Amt_Low', 'Hour=Hour_12_17'})"
0.1039,"frozenset({'isFraud=0', 'Email=gmail.com', 'Hour=Hour_18_23', 'Card1=card1_other'})"
0.10305,frozenset({'ProductCD=C'})
0.1029,"frozenset({'isFraud=0', 'DeviceType=mobile'})"
0.10215,"frozenset({'Amt=Amt_Low', 'isFraud=0', 'Hour=Hour_12_17'})"
0.1004,"frozenset({'Email=gmail.com', 'Hour=Hour_12_17'})"
0.1,"frozenset({'DeviceType=missing', 'Email=gmail.com', 'Hour=Hour_18_23'})"
0.09925,"frozenset({'DeviceType=missing', 'Email=yahoo.com', 'Card1=card1_other'})"
0.0991,"frozenset({'Amt=Amt_Med', 'Email=gmail.com'})"
0.0991,"frozenset({'DeviceType=desktop', 'ProductCD=H'})"
0.09825,"frozenset({'DeviceType=missing', 'ProductCD=W', 'Email=yahoo.com', 'Card1=card1_other'})"
0.09825,"frozenset({'ProductCD=W', 'Email=yahoo.com', 'Card1=card1_other'})"
0.0981,"frozenset({'DeviceType=missing', 'isFraud=0', 'Email=yahoo.com', 'Card1=card1_other'})"
0.09765,"frozenset({'isFraud=0', 'DeviceType=desktop', 'ProductCD=H'})"
0.09755,"frozenset({'isFraud=0', 'Email=gmail.com', 'Hour=Hour_12_17'})"
0.09725,"frozenset({'DeviceType=missing', 'isFraud=0', 'Email=gmail.com', 'Hour=Hour_18_23'})"
0.0971,"frozenset({'isFraud=0', 'ProductCD=W', 'Email=yahoo.com', 'Card1=card1_other'})"
0.0971,"frozenset({'ProductCD=W', 'Card1=card1_other', 'Email=yahoo.com', 'DeviceType=missing', 'isFraud=0'})"
0.09655,"frozenset({'ProductCD=W', 'Email=gmail.com', 'Hour=Hour_18_23'})"
0.09655,"frozenset({'DeviceType=missing', 'ProductCD=W', 'Email=gmail.com', 'Hour=Hour_18_23'})"
0.09535,"frozenset({'isFraud=0', 'Email=gmail.com', 'Amt=Amt_Med'})"
0.09505,"frozenset({'Email=gmail.com', 'Hour=Hour_0_5'})"
0.09395,"frozenset({'isFraud=0', 'ProductCD=W', 'Email=gmail.com', 'Hour=Hour_18_23'})"
0.09395,"frozenset({'Email=gmail.com', 'ProductCD=W', 'DeviceType=missing', 'isFraud=0', 'Hour=Hour_18_23'})"
0.0939,"frozenset({'Amt=Amt_Low', 'ProductCD=H'})"
0.09345,"frozenset({'Amt=Amt_Low', 'isFraud=0', 'ProductCD=H'})"
0.09335,"frozenset({'DeviceType=desktop', 'Hour=Hour_18_23'})"
0.0932,"frozenset({'isFraud=0', 'ProductCD=C'})"
0.09145,"frozenset({'isFraud=0', 'Email=gmail.com', 'Hour=Hour_0_5'})"
0.0906,"frozenset({'isFraud=0', 'DeviceType=desktop', 'Hour=Hour_18_23'})"
0.09055,"frozenset({'DeviceType=missing', 'Email=gmail.com', 'Amt=Amt_High'})"
0.0894,"frozenset({'ProductCD=W', 'Email=gmail.com', 'Amt=Amt_High'})"
0.0894,"frozenset({'DeviceType=missing', 'ProductCD=W', 'Email=gmail.com', 'Amt=Amt_High'})"
0.0885,"frozenset({'DeviceType=missing', 'isFraud=0', 'Email=gmail.com', 'Amt=Amt_High'})"
0.08735,"frozenset({'Email=gmail.com', 'ProductCD=W', 'Amt=Amt_High', 'DeviceType=missing', 'isFraud=0'})"
0.08735,"frozenset({'isFraud=0', 'ProductCD=W', 'Email=gmail.com', 'Amt=Amt_High'})"
0.08605,"frozenset({'Amt=Amt_Med', 'Hour=Hour_12_17'})"
0.08595,"frozenset({'Amt=Amt_Low', 'Hour=Hour_18_23', 'DeviceType=missing'})"
0.0854,"frozenset({'DeviceType=missing', 'Hour=Hour_18_23', 'Amt=Amt_High', 'Card1=card1_other'})"
0.08455,"frozenset({'Amt=Amt_Med', 'Hour=Hour_18_23', 'Card1=card1_other'})"
0.08445,"frozenset({'ProductCD=W', 'Card1=card1_other', 'Amt=Amt_High', 'DeviceType=missing', 'Hour=Hour_18_23'})"
0.08445,"frozenset({'ProductCD=W', 'Hour=Hour_18_23', 'Amt=Amt_High', 'Card1=card1_other'})"
0.0843,"frozenset({'Amt=Amt_Low', 'isFraud=0', 'Hour=Hour_18_23', 'DeviceType=missing'})"
0.08425,"frozenset({'Card1=card1_other', 'Amt=Amt_High', 'DeviceType=missing', 'isFraud=0', 'Hour=Hour_18_23'})"
0.0842,"frozenset({'DeviceType=missing', 'Amt=Amt_High', 'Hour=Hour_12_17'})"
0.08405,"frozenset({'isFraud=0', 'Amt=Amt_Med', 'Hour=Hour_12_17'})"
0.0838,"frozenset({'Email=gmail.com', 'Amt=Amt_High', 'Card1=card1_other'})"
0.08365,frozenset({'ProductCD=R'})
0.0833,"frozenset({'ProductCD=W', 'Card1=card1_other', 'Amt=Amt_High', 'isFraud=0', 'Hour=Hour_18_23'})"
0.0833,"frozenset({'ProductCD=W', 'Card1=card1_other', 'Amt=Amt_High', 'DeviceType=missing', 'isFraud=0', 'Hour=Hour_18_23'})"
0.0833,"frozenset({'Card1=card1_other', 'Amt=Amt_High', 'Hour=Hour_12_17'})"
0.08305,"frozenset({'DeviceType=missing', 'ProductCD=W', 'Amt=Amt_High', 'Hour=Hour_12_17'})"
0.08305,"frozenset({'ProductCD=W', 'Amt=Amt_High', 'Hour=Hour_12_17'})"
0.0825,"frozenset({'DeviceType=missing', 'isFraud=0', 'Amt=Amt_High', 'Hour=Hour_12_17'})"
0.0821,"frozenset({'isFraud=0', 'ProductCD=R'})"
0.08205,"frozenset({'isFraud=0', 'Amt=Amt_Med', 'Card1=card1_other', 'Hour=Hour_18_23'})"
0.0819,"frozenset({'Amt=Amt_Low', 'Card1=card1_other', 'Hour=Hour_0_5'})"
0.08175,"frozenset({'Amt=Amt_Low', 'DeviceType=desktop', 'Card1=card1_other'})"
0.08145,"frozenset({'isFraud=0', 'ProductCD=W', 'Amt=Amt_High', 'Hour=Hour_12_17'})"
0.08145,"frozenset({'ProductCD=W', 'Amt=Amt_High', 'DeviceType=missing', 'isFraud=0', 'Hour=Hour_12_17'})"
0.08135,"frozenset({'isFraud=0', 'Card1=card1_other', 'Amt=Amt_High', 'Hour=Hour_12_17'})"
0.08115,"frozenset({'DeviceType=mobile', 'Card1=card1_other'})"
0.08045,"frozenset({'isFraud=0', 'Email=gmail.com', 'Amt=Amt_High', 'Card1=card1_other'})"
0.08005,"frozenset({'Amt=Amt_Low', 'isFraud=0', 'Card1=card1_other', 'Hour=Hour_0_5'})"
0.0797,"frozenset({'Amt=Amt_Low', 'ProductCD=W', 'Hour=Hour_18_23', 'DeviceType=missing'})"
0.0797,"frozenset({'Amt=Amt_Low', 'ProductCD=W', 'Hour=Hour_18_23'})"
0.07965,"frozenset({'Amt=Amt_Low', 'Email=gmail.com', 'DeviceType=missing'})"
0.07945,"frozenset({'Amt=Amt_Low', 'isFraud=0', 'DeviceType=desktop', 'Card1=card1_other'})"
0.07915,"frozenset({'Amt=Amt_Low', 'Card1=card1_other', 'Hour=Hour_12_17'})"
0.07835,"frozenset({'Amt=Amt_Low', 'isFraud=0', 'ProductCD=W', 'Hour=Hour_18_23'})"
0.07835,"frozenset({'ProductCD=W', 'Amt=Amt_Low', 'DeviceType=missing', 'isFraud=0', 'Hour=Hour_18_23'})"
0.078,"frozenset({'Email=gmail.com', 'DeviceType=desktop'})"
0.07795,"frozenset({'Amt=Amt_Low', 'isFraud=0', 'Email=gmail.com', 'DeviceType=missing'})"
0.07785,"frozenset({'DeviceType=desktop', 'Hour=Hour_12_17'})"
0.0776,"frozenset({'Amt=Amt_Low', 'isFraud=0', 'Card1=card1_other', 'Hour=Hour_12_17'})"
0.07665,frozenset({'Email=anonymous.com'})
0.07615,"frozenset({'isFraud=0', 'DeviceType=mobile', 'Card1=card1_other'})"
0.07605,"frozenset({'isFraud=0', 'DeviceType=desktop', 'Hour=Hour_12_17'})"
0.07595,frozenset({'Email=hotmail.com'})
0.0759,"frozenset({'DeviceType=missing', 'Email=gmail.com', 'Hour=Hour_18_23', 'Card1=card1_other'})"
0.0758,"frozenset({'isFraud=0', 'Email=anonymous.com'})"
0.07515,"frozenset({'Amt=Amt_Low', 'ProductCD=W', 'Email=gmail.com', 'DeviceType=missing'})"
0.07515,"frozenset({'Amt=Amt_Low', 'ProductCD=W', 'Email=gmail.com'})"
0.075,"frozenset({'Card1=card1_other', 'Email=gmail.com', 'Hour=Hour_12_17'})"
0.07495,"frozenset({'Amt=Amt_Med', 'Email=gmail.com', 'Card1=card1_other'})"
0.0749,"frozenset({'Amt=Amt_High', 'Hour=Hour_0_5'})"
0.0742,"frozenset({'isFraud=0', 'Email=gmail.com', 'DeviceType=desktop'})"
0.07385,"frozenset({'Amt=Amt_Low', 'isFraud=0', 'ProductCD=W', 'Email=gmail.com'})"
0.07385,"frozenset({'Email=gmail.com', 'ProductCD=W', 'Amt=Amt_Low', 'DeviceType=missing', 'isFraud=0'})"
0.07375,"frozenset({'Email=gmail.com', 'Card1=card1_other', 'DeviceType=missing', 'isFraud=0', 'Hour=Hour_18_23'})"
0.07365,"frozenset({'ProductCD=W', 'Email=gmail.com', 'Hour=Hour_18_23', 'Card1=card1_other'})"
0.07365,"frozenset({'Email=gmail.com', 'ProductCD=W', 'Card1=card1_other', 'DeviceType=missing', 'Hour=Hour_18_23'})"
0.0734,"frozenset({'Amt=Amt_Med', 'Hour=Hour_0_5'})"
0.0733,"frozenset({'DeviceType=missing', 'Amt=Amt_Med', 'Hour=Hour_18_23'})"
0.07295,"frozenset({'Card1=card1_other', 'Email=gmail.com', 'Hour=Hour_0_5'})"
0.07255,"frozenset({'isFraud=0', 'Card1=card1_other', 'Email=gmail.com', 'Hour=Hour_12_17'})"
0.0725,"frozenset({'isFraud=0', 'Amt=Amt_High', 'Hour=Hour_0_5'})"
0.0723,"frozenset({'isFraud=0', 'Email=hotmail.com'})"
0.07225,"frozenset({'ProductCD=C', 'Card1=card1_other'})"
0.07195,"frozenset({'DeviceType=missing', 'Amt=Amt_Med', 'isFraud=0', 'Hour=Hour_18_23'})"
0.07185,"frozenset({'isFraud=0', 'Email=gmail.com', 'Amt=Amt_Med', 'Card1=card1_other'})"
0.0716,"frozenset({'Email=gmail.com', 'ProductCD=W', 'Card1=card1_other', 'DeviceType=missing', 'isFraud=0', 'Hour=Hour_18_23'})"
0.0716,"frozenset({'Email=gmail.com', 'ProductCD=W', 'Card1=card1_other', 'isFraud=0', 'Hour=Hour_18_23'})"
0.07045,"frozenset({'isFraud=0', 'Amt=Amt_Med', 'Hour=Hour_0_5'})"
0.0703,"frozenset({'isFraud=0', 'Card1=card1_other', 'Email=gmail.com', 'Hour=Hour_0_5'})"
0.07025,"frozenset({'DeviceType=desktop', 'ProductCD=H', 'Card1=card1_other'})"
